KMD,KMD,Organization,KMD was added to CrunchBase in 2013,,,,,0,0,
Knorex,Knorex,Organization,Knorex provides digital media products to publishers and brands engaged in the areas of advertising, marketing, and publishing.,2010-01-01,4,None,None,0,0,
Knowles,Knowles,Organization,Knowles offers a growing range of micro-acoustic, electro-mechanical, and related technology platforms to support the business potential of,,,,,0,0,
Kodak,Kodak,Organization,Kodak provides imaging solutions and services for enterprises and consumers.,,,,,0,0,
Kofax,Kofax,Organization,Kofax Document Capture develops and markets intelligent capture and exchange related solutions and services.,1991-01-01,4,,,11461000,0,1144
KONE,KONE,Organization,,,,,,0,0,
Kong,KONG,Organization,KONG is a Turkish communications agency specialized in providing digital communication solutions to corporate clients.,2012-09-01,7,10,1,0,0,
KPMG,KPMG,Organization,KPMG LLP, the audit, tax and advisory firm, is the U.S. member firm of KPMG International Cooperative (KPMG International). KPMG,1987-01-01,4,None,None,0,1,
KPN,KPN,Organization,KPN in the Netherlands, Belgium and Germany KPN provides high-quality telephone, Internet and television services and products and is an,1989-01-01,4,,,0,0,
Kraft,Kraft,Organization,Kraft is an American grocery manufacturing and processing conglomerate headquartered in the Chicago suburb of Northfield, Illinois.,,,,,0,0,
KRDL,KRDL,Organization,,,,,,0,0,
Kriyari,Kriyari,Organization,Kriyari operates a website for online shopping by collecting, organizing, and displaying the information of various stores and brands.,2006-01-01,4,,,1000000,0,
labor,Labor,Organization,Graphic Design / Visual Communications,2010-01-01,4,,,0,0,
Landmark,Landmark Forum,Organization,personal and professional development,1991-01-01,4,,,0,0,
LANSA,LANSA,Organization,,,,,,0,0,
Lantech,Lantech,Organization,The IT Infrastructure is a key artery for every organisation.,1983-01-01,4,None,None,0,1,
Lantiq,Lantiq,Organization,Lantiq has a unique capability to combine traditional Wireline technologies with leading-edge Access and Home Networking technologies.,,,,,0,0,
LANXESS,LANXESS,Organization,Chemical activity,2004-01-01,4,,,0,2,
Latitude,Latitude,Organization,Latitude is an international research consultancy working with the world's foremost media and technology companies.,,,None,None,0,0,
Lawson,Lawson,Organization,Lawson, Inc. engages in the development, operation, and management of its own and franchised Lawson convenience stores primarily in Japan.,,,,,0,1,
LCC,LCC,Organization,,,,10,1,0,0,
Lead,LEAD,Organization,LEAD (Leadership for Environment and Development) is a unique, ever growing, live international network of professionals and organizations.,,,,,0,0,
LEAD,LEAD,Organization,LEAD (Leadership for Environment and Development) is a unique, ever growing, live international network of professionals and organizations.,,,,,0,0,
Leadership,Leadership,Organization,LEADERSHIP is Nigeria's most influential newspaper symbolically embedded in the nation's capital - for God and country.,2004-10-01,7,None,None,0,0,
Leadingside,LeadingSide,Organization,,,,,,0,0,
League,LEAGUE,Organization,Digital Health & Wellness platform launching in 2015,2014-06-12,7,50,11,8000000,0,
ledge,Ledge,Organization,Ledge Inc. is committed to developing small manufacturers Quality and Production systems,,,None,None,344000,0,
Ledge,Ledge,Organization,Ledge Inc. is committed to developing small manufacturers Quality and Production systems,,,None,None,344000,0,
Leica,Leica,Organization,Leica Camera AG is an internationally operating, premium-segment manufacturer of cameras and sport optics products.,1980-01-01,4,None,None,0,0,
Lenovo,Lenovo,Organization,Lenovo Group is a Chinese multinational technology company that sells personal computers, smartphones, and other electronic products.,1984-01-01,4,,,0,2,33000
Leo,LEO.org,Organization,LEO is the developer of this aaplication. It is an online service with the popular German-Englis,,,,,0,0,
Level,Level,Organization,Level offers an iPhone app that automatically updates the users' cash purchases to give real-time financial health pictures.,2012-06-22,7,,,5000000,0,7
Leverage,Leverage,Organization,Revolutionize humanitarian organizations,,,10,1,0,0,
Levesque,Levesque,Organization,,,,,,0,0,
Lexis,Lexis,Organization,Lexis is a creative communications agency that specialises in Consumer, Corporate and B2B PR, Social Media and Live Experiences.,,,,,0,0,
LexisNexis,LexisNexis,Organization,LexisNexis offers content-enabled workflow solutions in the legal, risk management, corporate, government, accounting, and academic markets.,1973-01-01,4,1000000,10001,0,2,
Lexmark,Lexmark,Organization,printing and imaging solutions,1990-01-01,4,1000000,10001,0,0,11900
LEXMARK,Lexmark,Organization,printing and imaging solutions,1990-01-01,4,1000000,10001,0,0,11900
LG,LG,Organization,LG Electronics develops and sells consumer electronics under the LG name worldwide.,1947-01-01,4,1000000,10001,0,3,177000
Li,Li,Organization,Li Ltd is a mobile applications developer company and has developed various gaming applications for iPhon,,,,,0,0,
Light,light,Organization,Light,2013-01-01,4,50,11,9700000,0,
Lightbridge,Lightbridge,Organization,,,,,,0,0,
Lilly,Lilly,Organization,They make medicines that help people live longer, healthier, more active lives.,,,,,0,0,
Limelight,Limelight,Organization,Limelight provides a subscription service that allows app developersto create app marketing sitesand app landing pages.,2011-06-28,7,10,1,0,0,2
LinkedIn,LinkedIn,Organization,LinkedIn, a professional networking site, allows its members to create business connections, search for jobs, and find potential clients.,2003-05-05,7,5000,1001,206121421,1,4800
Linksys,Linksys,Organization,Linksys develops and provides voice over internet protocol (VoIP), wireless, and networking hardware products.,1988-01-01,4,None,None,0,0,
Lion,Lion,Organization,Advisory, news,2011-07-01,7,,,0,0,5
Lionbridge,Lionbridge,Organization,World's leading provider of translation and localization services.,1996-01-01,4,None,None,0,0,
Liquid,Liquid,Organization,Mobile Analytics and Personalization platform,2014-01-01,7,None,None,1000000,0,
Lister,Lister,Organization,Lister is the easiest way of getting together with friends.,,,None,None,0,0,
LittleLives,LittleLives,Organization,LittleLives is Singapore based Software company,,,None,None,0,0,
Lockton,Lockton,Organization,Clients across the globe count on Lockton for risk management, insurance and employee benefits.,,,,,0,0,
Lofty,LOFTY,Organization,Lofty is an expert-reviewed, online marketplace for valuable fine art, antiques and collectibles.,2012-11-01,6,50,11,2250000,0,
Logic,Logic,Organization,Logic is an IT company that provides web design and consulting services.,2013-01-01,4,None,None,0,0,
Logica,Logica,Organization,business services company,1969-01-01,4,1000000,10001,0,0,36780
logica,Logica,Organization,business services company,1969-01-01,4,1000000,10001,0,0,36780
LogicaCMG,LogicaCMG,Organization,,,,,,0,0,
LogicaCMg,LogicaCMG,Organization,,,,,,0,0,
Logicalis,Logicalis,Organization,,,,,,0,0,
Logitech,Logitech,Organization,Logitech is a global manufacturer of computers and electronic peripherals such as gaming, music and communication devices.,1981-01-01,4,,,0,3,8000
Logix,Logix,Organization,,,,,,0,0,
Logoworks,Logoworks,Organization,Logoworks is an online graphic design company that offers logo design, print design, and web design services for small businesses.,2000-01-01,4,,,9300000,0,
Lotus,Lotus,Organization,Lotus Development Corporation develops business applications that help people collaborate across corporate networks.,,,,,0,0,
LucasArts,LucasArts,Organization,LucasArts Entertainment Company,1982-01-01,4,,,0,0,
Lucasfilm,Lucasfilm,Organization,Lucasfilm develops and produces original content, post-production effects, and more.,,,,,0,0,
LucasFilm,Lucasfilm,Organization,Lucasfilm develops and produces original content, post-production effects, and more.,,,,,0,0,
Lucent,Lucent,Organization,,,,,,0,0,
LUCENT,Lucent,Organization,,,,,,0,0,
Lucid,Lucid,Organization,At Lucid, we are bringing to VR not only the world's first portable, 3D 180 camera, but also a portal to share your world, or join another.,,,None,None,0,0,
Lufthansa,Lufthansa,Organization,Lufthansa ranks among the top ten airlines in the world in terms of size and is the second largest European airline.,1953-01-06,7,None,None,0,0,
Lumesse,Lumesse,Organization,Lumesse is the only global company making talent management solutions work locally. We help customers around the world to implement,,,,,0,0,
Lunch,Lunch,Organization,Relevant reviews you can trust,2008-08-01,6,,,0,0,12
Luxoft,Luxoft,Organization,outsourcing services,2000-01-01,4,,,102400000,0,
LVMH,LVMH,Organization,LVMH Moet Hennessy Louis Vuitton engages in the design, manufacture, and sale of luxury products worldwide.,,,,,0,3,
Lycos,LYCOS Media, Division of LYCOS Internet Limited,Organization,Lycos is the legendary internet brand with two divisions - Lycos Media and Lycos Advertising.,1995-01-01,4,None,None,0,0,
M,Myfacepage,Organization,TheYearbook updates your friends on Whatchadoin?,2010-03-23,7,,,1500000,0,1
Mac,mac,Organization,mac was added to CrunchBase in 2012,,,,,0,0,
Maccine,Maccine,Organization,Maccine is an established preclinical contract research organization providing innovative discovery support and regulatory safety,,,,,0,0,
MacGregor,Macgregor,Organization,,,,,,0,0,
MACH,Mach,Organization,MACH is the leading provider of hub-based mobile communications exchange solutions, uniting the global telecommunications marketplace.,,,,,0,0,
Macromedia,Macromedia,Organization,Macromedia is a graphics and web development software company producing tools such as Macromedia Flash and Dreamweaver.,1992-01-01,4,,,0,2,
Macrosoft,Macrosoft,Organization,Leading edge design and Development Comp,1993-01-01,4,500,251,0,0,300
Macrovision,Macrovision,Organization,Macrovision provides guidance technology, entertainment data, data analytics, and interactive advertising solutions.,,,,,0,0,
MAERSK,Maersk,Organization,Maersk Group is a worldwide organization with about 89,000 employees and offices in around 135 countries.,1904-01-01,6,1000000,10001,0,0,
Maersk,Maersk,Organization,Maersk Group is a worldwide organization with about 89,000 employees and offices in around 135 countries.,1904-01-01,6,1000000,10001,0,0,
Magenta,Magenta,Organization,Web-based scheduling solutions,1998-01-01,4,,,0,0,
MagiNet,Maginet,Organization,,,,,,0,0,
Maginet,Maginet,Organization,,,,,,0,0,
Magna,Magna,Organization,A New York based investment firm,2009-01-01,4,100,51,0,0,
Maktoob,Maktoob,Organization,Maktoob is an Arabic social network providing services such as email, discussion forums, news, blogs, games, and other community services.,2000-01-01,4,,,5250000,0,
Mango,Mango,Organization,Online/Mobile Payments in Latin America,2013-09-01,7,,,150000,0,
Manpower,manpower,Organization,,,,,,0,0,
ManpowerGroup,ManpowerGroup,Organization,ManpowerGroup is regularly invited to participate in summits, seminars, forums and roundtables hosted by organizations.,,,,,0,0,
MAPICS,MAPICS,Organization,,,,,,0,0,
Marc,MARC,Organization,,,,,,0,0,
Marconi,Marconi Dynamics,Organization,The Marconi Company originally known as The Wireless Telegraph & Signal Company was a British telecommunications and engineering company.,,,,,0,0,
Mark,MARK,Organization,skate to where the puck is going to be.,2014-04-28,7,,,0,0,
Marketing,Yorke Communications,Organization,Yorke Communications develops business content based on audience analysis and publishes them in appropriate formats. Marketing Communication,2008-12-10,7,50,11,0,0,50
MarketSpace,Marketspace,Organization,,,,,,0,0,
Markit,Markit,Organization,Markit is a financial information services company helping businesses improve operational efficiency and meet regulatory requirements.,2001-01-01,4,,,250000000,0,
Marvell,Marvell,Organization,Marvell is a fabless semiconductor company producing storage, communications, and consumer semiconductor products.,,,,,0,0,
Mascon,Mascon,Organization,,,,,,0,0,
Massive,Massive,Organization,Massiveis the developer ofvideo game network for in-game advertising.,,,,,10000000,0,
Mastech,Mastech,Organization,,,,,,0,0,
MasterCard,MasterCard,Organization,MasterCard International Inc. provides payment processing products and solutions as well as related consulting services.,1966-01-01,4,10000,5001,0,9,
Mata,MATA,Organization,MATA is a group of dedicated individuals, entrepreneurs, companies.,2009-01-01,4,None,None,0,0,
Matador,Matador,Organization,Matador is a full-service content production company with offices in New York and Los Angeles.,2013-01-01,7,None,None,0,0,
MATADOR,Matador,Organization,Matador is a full-service content production company with offices in New York and Los Angeles.,2013-01-01,7,None,None,0,0,
Matrix,Matrix,Organization,Matrix is the leading IT company in Israel. They develop and implement leading technologies, software solutions and products.,2001-01-01,4,,,0,0,500
Matrixone,MatrixOne,Organization,,,,,,0,0,
Maxim,Maxim,Organization,Maxim is an international magazine and is known for its revealing pictorials featuring popular actresses, singers, and female models.,1995-01-01,4,None,None,0,0,
Maximus,Maximus,Organization,Maximus innovative health and human service programs have transformed lives and strengthened communities.,1975-01-01,4,,,7926732,0,
Maxis,Maxis,Organization,Maxis is a video game developer and is a subsidary or Electronic Arts (EA). They're best know for creating the best selling computer game,,,,,0,0,
Maxtor,Maxtor,Organization,Maxtor Corporation was an American manufacturer of computer hard disk drives that was later acquired by Seagate Technology in 2006.,1982-01-01,4,,,0,0,
Maxxium,Maxxium,Organization,,,,,,0,0,
Maybank,Maybank,Organization,Malaysian bank & financial group,1960-05-31,7,,,0,1,
MayBank,Maybank,Organization,Malaysian bank & financial group,1960-05-31,7,,,0,1,
Mazars,Mazars,Organization,,,,,,0,0,
MBA,MBA,Organization,,,,,,0,0,
mBalance,mBalance,Organization,software for GSM,2001-01-01,4,,,0,0,82
mblox,mBlox,Organization,mBlox offers mobile marketing and engagement solutions that help brands reach customers via SMS campaigns and push notifications.,1999-01-01,4,500,251,121842730,0,
mBlox,mBlox,Organization,mBlox offers mobile marketing and engagement solutions that help brands reach customers via SMS campaigns and push notifications.,1999-01-01,4,500,251,121842730,0,
mbs,MBS,Organization,MBS offers a range of outsourced direct marketing services, including: strategic services for goal setting, measurement, and meaningful,,,,,0,0,
MBS,MBS,Organization,MBS offers a range of outsourced direct marketing services, including: strategic services for goal setting, measurement, and meaningful,,,,,0,0,
MBT,MBT,Organization,Professional software for basketball,,,10,1,0,0,10
McAfee,McAfee,Organization,McAfee is an American computer security software company that delivers complete virus protection and internet security services.,1987-08-14,7,10000,5001,0,0,5000
Mcdonalds,McDonald's,Organization,McDonald's is an international chain of hamburger fast food restaurants.,1955-01-01,4,None,None,0,0,
mChek,mChek,Organization,,,,,,0,0,
MCI,MCI,Organization,MCI Communications was the second-largest long-distance telecommunications service provider in the U.S. until its purchase by WorldCom.,,,,,0,0,
MCM,MCM,Organization,MCM has grown to become one of the largest privately held benefits consulting and insurance brokerage firms in the Northwest.,,,,,0,0,
MDA,MDA,Organization,Busiiness Analytic Software Company,1999-01-01,4,,,0,2,90
MDR,MDR,Organization,For more than 40 years, MDR has been the leader in innovative marketing solutions for the education industry.,1969-01-01,4,100,51,0,0,
mDR,MDR,Organization,For more than 40 years, MDR has been the leader in innovative marketing solutions for the education industry.,1969-01-01,4,100,51,0,0,
Me,+me,Organization,Rate/Be-rated by people in your circles.,2011-09-01,7,10,1,0,0,1
Media,Media Lightbox,Organization,Media Lightbox is a digital asset management platform offering online file storage, collaboration and file sharing systems.,2007-01-01,4,10,1,0,0,
Mediabrands,Mediabrands,Organization,Created by IPG to manage all of its global media-related assets, Mediabrands employs 6,500 communications specialists operating in 90,,,,,0,0,
MediaCom,mediacom,Organization,MediaCom is one of the world's leading media agencies.,1988-01-01,4,,,0,0,
Mediacom,mediacom,Organization,MediaCom is one of the world's leading media agencies.,1988-01-01,4,,,0,0,
MediaConcepts,MediaConcepts,Organization,MediaConcepts decided to start a different kind of agency. Not the glitziest or the edgiest. They simply set out to be the best at driving,,,,,0,0,
MediGain,MediGain,Organization,MediGain helps physicians by providing improved back-office processes and enabling more time and resources for patient care.,2002-01-01,4,None,None,40257500,0,
MediTech,Meditech Solution,Organization,Meditech develops medical technology such as SenZe, an eye-tracking communication device, for patients suffering from paralysis.,2009-01-01,4,,,160000,0,
MEED,Meed Comunicacion,Organization,Technology & scientific consultancy,,,,,0,0,
MEGA,Mega,Organization,Mega offers a cloud file system that allows cross-account folder sharing for online collaboration purposes.,2013-01-19,7,,,0,0,
Mega,Mega,Organization,Mega offers a cloud file system that allows cross-account folder sharing for online collaboration purposes.,2013-01-19,7,,,0,0,
MelbourneIT,Melbourne IT,Organization,Domain Name Registrar,1996-01-01,7,1000,501,0,1,690
Meltwater,Meltwater,Organization,Online Intelligence Solutions,2001-01-01,4,,,0,0,800
Memberson,Memberson,Organization,Software platform for merchants,2006-01-01,4,50,11,0,0,15
Memory,memory,Organization,Memory is a free and simple photo sharing application that allows you create collaborative photo albums with your family and friends.,2015-01-27,7,None,None,0,0,
Mentor,Mentor,Organization,Mentor is the app for your personal development.,2012-01-01,4,None,None,0,0,
Merced,Merced,Organization,Merced was added to CrunchBase in 2011,,,,,0,0,
Mercury,Mercury,Organization,,,,,,0,0,
Meridian,Meridian,Organization,Meridian offers a location-based platform that allows enterprises to develop mobile apps to optimize and simplify their customer experience.,2011-03-01,6,,,1975000,0,
Merisel,Merisel,Organization,,,,,,0,0,
Merlin,Merlin,Organization,Merlin creates and delivers training and support content for companies and content developers in significant vertical markets.,2010-01-01,4,10,1,550000,0,
MessageLabs,MessageLabs,Organization,MessageLabs offers email security and management services to guard businesses against email threats, blackmail campaigns and others.,1999-01-01,4,,,0,0,
META,Meta Marketing,Organization,IT/Software Sales Support Firm,1992-01-01,6,,,0,0,10
METALOGIC,Metalogic,Organization,Java in memory cache and application server,2001-01-01,4,,,0,0,
Metaoption,MetaOption,Organization,Global Information Technology Company,2005-01-01,4,,,0,0,250
Metaps,Metaps,Organization,Metaps is an app monetization platform using AI & big data to maximize app revenue and optimize campaign performance.,2007-09-03,7,,,52500000,0,80
methodist,Methodist,Organization,Methodist Healthcare is an integrated, not-for-profit healthcare system in Memphis.,,,None,None,0,0,
Metia,Metia,Organization,digital marketing agency,,,,,0,0,
Metlife,MetLife,Organization,MetLife, Inc. (MetLife) is a provider of insurance, employee benefits and financial services, with operations throughout the United States,,,,,0,0,
Metrica,Metrica,Organization,Metrica,The Resource Development Center,2012-07-01,7,100,51,0,0,100
metro,Metro,Organization,The Metro brand is a free newspaper that was designed as a concise read for urbanites on the commute for them to consume whilst on the move.,,,None,None,0,0,
mhm,MHM,Organization,,,,,,0,0,
Michelin,Michelin,Organization,,,,,,0,0,
MicroGenesis,MICROGENESIS,Organization,Digital multichannel content,,,,,0,0,
Microland,Microland,Organization,Microland, an IT infrastructure services provider, offers infrastructure set up, management and optimization services to a global clientele.,1989-01-01,4,,,18300000,0,
MICRONET,MICRONET,Organization,Documentary database,,,,,0,0,
Micros,MICROS,Organization,Micros-Fidelio UK Ltd. provides finance and ERP solutions,1989-01-01,4,,,0,0,
MICROS,MICROS,Organization,Micros-Fidelio UK Ltd. provides finance and ERP solutions,1989-01-01,4,,,0,0,
Microserve,Microserve,Organization,Drupal Web Development Agency,2003-01-01,4,50,11,0,0,13
microsoft,Microsoft,Organization,Microsoft, a software corporation, develops licensed and support products and services ranging from personal use to enterprise application.,1974-04-04,7,,,0,34,90000
Microsoft,Microsoft,Organization,Microsoft, a software corporation, develops licensed and support products and services ranging from personal use to enterprise application.,1974-04-04,7,,,0,34,90000
MICROSOFT,Microsoft,Organization,Microsoft, a software corporation, develops licensed and support products and services ranging from personal use to enterprise application.,1974-04-04,7,,,0,34,90000
MicroStrategy,MicroStrategy,Organization,MicroStrategy, a cloud-based platform, provides enterprise software for business intelligence, mobile intelligence and network applications.,1989-01-01,4,,,0,0,2597
Microview,MicroView,Organization,https://www.kickstarter.com/projects/151,,,,,0,0,
Microvision,MicroVision,Organization,MicroVision designs and develops laser retina scan personal displays for electronic and computing products.,1993-01-01,4,,,110000000,0,110
Microware,Microware,Organization,,,,,,0,0,
Miele,Miele,Organization,,,,,,0,1,
mig33,mig33,Organization,mig33 is a social platform offering chatrooms, miniblogs, and virtual gifts for its users.,2005-12-01,6,,,34600000,0,100
Mig33,mig33,Organization,mig33 is a social platform offering chatrooms, miniblogs, and virtual gifts for its users.,2005-12-01,6,,,34600000,0,100
Miles,miles,Organization,miles was added to CrunchBase in 2009,,,,,0,0,
MILES,miles,Organization,miles was added to CrunchBase in 2009,,,,,0,0,
Millennium,Millennium,Organization,Interactive technology is the future of the restaurant business. Clever Restaurant - Imagine that you did not need a waiter to place Order.,2014-11-07,7,10,1,70000,0,
Minacs,Minacs,Organization,business process outsourcing,1981-01-01,4,1000000,10001,0,0,20300
MINDEF,MINDEF,Organization,,,,,,0,0,
Mindef,MINDEF,Organization,,,,,,0,0,
Minds,Minds,Organization,The open source social network,2011-01-01,4,,,0,0,5
Mindscape,Mindscape,Organization,.NET tools,2007-01-01,4,,,1400000,0,10
MindTree,MindTree,Organization,MindTree was started in 1999 by a diverse team of 10 professionals who came from three different nations and had already scripted,1999-01-01,4,,,0,0,
Mindtree,MindTree,Organization,MindTree was started in 1999 by a diverse team of 10 professionals who came from three different nations and had already scripted,1999-01-01,4,,,0,0,
Mini,MINI +,Organization,Design. Development. Apps.,2007-05-16,7,50,11,0,0,12
MiniScribe,Miniscribe,Organization,,,,,,0,0,
MIRC,mIRC,Organization,,1995-10-23,7,10,1,0,0,
Mitre,MITRE,Organization,systems engineering,1958-01-01,7,None,None,0,0,
MITS,MITS,Organization,Reporting and Analytics for Wholesale Distributors,1996-01-01,4,,,0,0,
mitsui,Mitsui & Co,Organization,general trading company,1947-01-01,7,,,0,20,
MLab,MLAB,Organization,MLAB was founded in 2010,2010-03-01,7,10,1,0,0,6
MMS,MMS,Organization,,,,,,0,0,
MobiApps,MobiApps,Organization,MobiApps is a provider of hybrid terrestrial and satellite technologies for commercial communications.,,,,,10000000,0,
Mobile,Mobile,Organization,Mobile was added to CrunchBase in 2013,,,,,0,0,
MOBILE,Mobile,Organization,Mobile was added to CrunchBase in 2013,,,,,0,0,
Mobile2win,Mobile2win,Organization,Mobile2win India Pvt. Ltd., a digital and mobile entertainment company, provides contests and interactivity, music, and infotainment to,,,,,0,0,
Mobilink,Mobilink,Organization,Telecommunications,1993-01-01,4,,,0,0,
Mobiquest,Mobiquest,Organization,Mobiquest, a Singapore (HQ) based company provides Mobile Services like- Application Development, Application Porting & Localization,,2007-01-01,4,,,0,0,300
Mobius,Flutter,Organization,High quality electronics for makers and educators,2013-03-01,7,10,1,0,0,1
Modus,Modus,Organization,Vehicle telematics solutions and applications for the insurance industry,2002-09-09,7,50,11,0,0,
Molex,Molex,Organization,Molex is a leading one-source supplier of interconnect products. Their team of highly skilled experts is focused on the design, development,,,,,0,0,
Monster,Monster,Organization,Monster is an employment website that connects individuals around the world with suitable jobs.,1994-01-01,4,None,None,0,0,
Moodys,Moody's,Organization,Credit Ratings, Research & Analysis,,,10000,5001,0,0,6800
Moore,Moore,Organization,Moore is a joint-stock company that develops online solutions for advertising, designing, and media.,2008-01-01,4,None,None,0,0,
Morse,Morse,Organization,Morse was added to CrunchBase in 2010,,,,,0,0,
Mosaic,Mosaic,Organization,Mosaic is the fastest way to create a stunning photo book from your phone or tablet.,2012-09-01,6,None,None,0,0,
mosi,MOSI,Organization,Discover Manchester's rich legacy of world-changing industrial innovations and scientific discoveries.,1983-01-01,4,None,None,0,0,
MoSoNex,MoSoNex,Organization,Mobile Social digital signage,,,,,0,0,20
Motorsport,Motorsport,Organization,Racing news portal,1994-01-01,4,,,0,0,
Mozat,Mozat Pte Ltd,Organization,Mozat is a telecommunications technology company providing a mobile social networking services platform.,2008-03-20,7,,,0,0,80
MOZAT,Mozat Pte Ltd,Organization,Mozat is a telecommunications technology company providing a mobile social networking services platform.,2008-03-20,7,,,0,0,80
Mozcom,Mozcom,Organization,The first commercial Internet Service Provider in the Philippines.,,,None,None,0,0,
Mozilla,Mozilla,Organization,Mozilla is a non-profit organization and a global community committed to keep the Internet alive and accessible.,1998-02-01,7,None,None,2300000,2,800
Mphasis,Mphasis,Organization,MphasiS consistently delivers global Infrastructure Technology Outsourcing, Applications Services Outsourcing and Business Process,,,,,0,0,
MPHASIS,Mphasis,Organization,MphasiS consistently delivers global Infrastructure Technology Outsourcing, Applications Services Outsourcing and Business Process,,,,,0,0,
MphasiS,Mphasis,Organization,MphasiS consistently delivers global Infrastructure Technology Outsourcing, Applications Services Outsourcing and Business Process,,,,,0,0,
MPhasis,Mphasis,Organization,MphasiS consistently delivers global Infrastructure Technology Outsourcing, Applications Services Outsourcing and Business Process,,,,,0,0,
MRDI,MRDI:,Organization,MRDI is a government procurement firm,2011-01-01,7,,,0,0,
MSCI,MSCI,Organization,MSCI is a leading provider of investment decision support tools to investment institutions worldwide.,,,,,0,0,
MSI,MSI,Organization,MSi has always been focused on creating a solution to the high-energy consumption of hot, costly halogen lights in a myriad of applications,,,,,0,0,
msn,MSN,Organization,MSN is an ISP and web portal that provides online information, entertainment, and communication services worldwide.,,,,,0,0,
MSP,MSP,Organization,MSP was added to CrunchBase in 2013,,,,,0,0,
Mtech,MTech,Organization,Technology consulting firm specializing in medical and dental technology. Technology is changing the way we live, work, and play. In both,2010-01-01,4,10,1,0,0,5
MTV,MTV,Organization,MTV is a basic cable and satellite television channel that provides music-oriented programs and shows.,,,,,0,0,
Multisoft,Multisoft,Organization,Mobile business solutions,,,,,0,0,
Murex,Murex,Organization,,,,,,0,0,
Muvee,muvee Technologies,Organization,Muvee provides consumer video editing software for creating home movies and slide shows on Windows, Mac and Android devices.,2002-01-01,4,100,51,0,0,55
muvee,muvee Technologies,Organization,Muvee provides consumer video editing software for creating home movies and slide shows on Windows, Mac and Android devices.,2002-01-01,4,100,51,0,0,55
My,My 1%,Organization,My 1% is a 4-gold online store that enables customers to find and purchase women's wear.,2008-06-01,6,,,10000000,0,
Mycom,MYCOM,Organization,Leading independent provider of carrier-grade Network and Services Performance Management and Advance Engineering Services,1997-01-01,4,,,0,0,
MyCube,MyCube,Organization,MyCube is a digital life management tool for exchanging, sharing and selling content that interests users.,2010-02-01,6,,,15107000,0,25
Mycube,MyCube,Organization,MyCube is a digital life management tool for exchanging, sharing and selling content that interests users.,2010-02-01,6,,,15107000,0,25
Myer,Myer,Organization,Myer is a department store chain merchandising a broad range of products from clothing and accessories to homeware.,1978-01-01,4,,,181592251,0,
Myntra,Myntra,Organization,Myntra is an Indian e-commerce site for buying branded footwear, apparels and accessories for men and women.,2007-01-01,4,,,133750000,0,500
MYOB,MYOB,Organization,MYOB is a business management solutions provider offering software products and services for small and medium-sized businesses.,1991-01-01,4,5000,1001,0,1,
Myriad,Myriad,Organization,Mobile Software Developer,,,,,0,1,
n,N-1-1,Organization,Emergency app to alert nearby people,,,,,40000,0,
N,N-1-1,Organization,Emergency app to alert nearby people,,,,,40000,0,
N-iX,N-iX,Organization,N-iX is a custom software development company that helps software vendors and innovative start-ups to build Dedicated Development Teams.,2002-08-01,6,250,101,0,0,150
Nabi,Nabi,Organization,The facility is a converted school building originally built in 1952.,1989-01-01,4,None,None,0,0,
Nagarro,Nagarro,Organization,Offshore software development,1996-11-01,6,,,0,0,800
Nano,Nano,Organization,Specialized in developing minimally-invasive medical devices, with innovative own technology.,,,,,681663,0,
Natixis,Natixis,Organization,Natixis is a French corporate and investment bank providing wholesale banking, investment solutions, and specialized financial services.,,,,,0,1,
Navigis,Navigis,Organization,Navigis provides information technology service management (ITSM) solutions to companies.,1996-01-01,4,None,None,0,0,
Navionics,Navionics,Organization,Navionics is a company in the continous development of products for navigation support and services.,,,,,500000,0,
NCI,NCI,Organization,NCI is a leading provider of information technology (IT), engineering, logistics, and professional services and solutions to U.S.,,,,,0,2,
NCR,NCR,Organization,NCR develops consumer transaction technologies for the retail, financial, travel, hospitality, telecom and technology industries.,1884-01-01,4,,,1500000,1,21500
Nebula,Nebula, Inc.,Organization,Nebula allows any business to easily build a massive private computing cloud from hundreds or thousands of inexpensive computers.,2011-04-01,7,100,51,38500000,0,60
NEC,NEC,Organization,NEC's brand statement, Empowered by Innovation, expresses their commitment to empowering people and society through continuous innovation,1899-01-01,4,,,0,5,
Nectar,Magnt,Organization,Gorgeous personal websites,2008-08-26,7,10,1,0,0,5
Neilsoft,Neilsoft,Organization,Engineering Services,1993-06-24,7,,,0,0,1000
NENA,NENA,Organization,National Emergency Number Association is on the forefront of all emergency communications issues.,2008-04-16,7,,,0,0,
Neolane,Neolane,Organization,Neolane is a marketing technology provider developingautomation and cross-channel campaign management softwarefor B2B and B2C marketers.,2001-01-01,4,,,35395343,0,250
Neptune,Neptune,Organization,Neptune is an online game center helping developers create games for smartphones and tablet PCs.,2012-01-01,4,,,470000,0,
NeST,NEST,Organization,NEST provides capital, management and strategic decision making support for Hong Kong-based entrepreneurs.,2011-01-03,7,,,0,4,6
Netapp,NetApp,Organization,NetApp offers storage and data management solutions that enable customers to accelerate business innovations and achieve cost efficiencies.,1992-01-01,4,,,0,2,8000
NetApp,NetApp,Organization,NetApp offers storage and data management solutions that enable customers to accelerate business innovations and achieve cost efficiencies.,1992-01-01,4,,,0,2,8000
Netbiscuits,Netbiscuits,Organization,Netbiscuits is a cloud platform for the development and delivery of web apps across mobile and connected devices.,2000-01-01,4,50,11,27000000,0,145
